user_id,signup_date,city,age_band,employment_type,credit_limit,kyc_status,txn_count,avg_amount,night_txn_ratio,total_spend,default_count,avg_delay,risk_score,risk_segment
1,2025-10-22,Bangalore,25-34,salaried,5000,full,16,1424.6875,0.1875,22795,0,0.0,0.1182014081749243,Low
2,2025-09-15,Mumbai,18-24,self_employed,10000,partial,33,1900.090909090909,0.303030303030303,62703,2,0.0,0.3960752448968921,Low
3,2025-11-11,Bangalore,18-24,salaried,10000,full,26,1915.2692307692307,0.2307692307692307,49797,1,0.0,0.26201086511629734,Low
4,2025-10-31,Hyderabad,25-34,self_employed,10000,full,14,2031.642857142857,0.3571428571428571,28443,1,0.0,0.3282807741686033,Low
5,2025-09-21,Mumbai,25-34,student,20000,full,26,1842.7692307692307,0.3076923076923077,47912,2,0.0,0.3956330249482994,Low
6,2025-11-22,Mumbai,18-24,student,20000,partial,33,2774.4242424242425,0.2727272727272727,91556,2,8.0,0.6002365683563876,Medium
7,2025-11-26,Hyderabad,25-34,salaried,20000,full,14,1484.428571428571,0.3571428571428571,20782,1,0.0,0.3026410548305592,Low
8,2025-11-14,Delhi,18-24,salaried,30000,partial,31,2072.1290322580644,0.3225806451612903,64236,1,4.0,0.40243359082494756,Medium
9,2025-11-14,Pune,25-34,self_employed,5000,full,26,1891.0384615384612,0.2692307692307692,49167,1,0.0,0.2793851226244459,Low
10,2025-11-27,Mumbai,25-34,self_employed,20000,full,17,1578.529411764706,0.2352941176470588,26835,1,0.0,0.24841052341657577,Low
11,2025-09-24,Bangalore,25-34,salaried,20000,full,21,1629.0,0.3333333333333333,34209,1,4.5,0.3979566188367995,Low
12,2025-09-03,Mumbai,18-24,student,10000,full,25,2552.92,0.32,63823,1,2.0,0.3792746730476369,Low
13,2025-09-22,Hyderabad,18-24,self_employed,20000,full,37,2240.108108108108,0.3243243243243243,82884,1,0.0,0.3222545140072505,Low
14,2025-10-23,Delhi,18-24,salaried,5000,full,17,1906.6470588235293,0.2941176470588235,32413,1,0.0,0.29209325676521064,Low
15,2025-09-02,Pune,18-24,student,20000,full,18,1877.1666666666667,0.6111111111111112,33789,1,4.0,0.5321537271422511,Medium
16,2025-11-27,Pune,18-24,salaried,10000,full,16,2153.4375,0.3125,34455,0,5.0,0.3236142474597219,Low
17,2025-09-30,Bangalore,25-34,salaried,5000,full,31,1230.3225806451612,0.4516129032258064,38140,0,0.0,0.23619860192567513,Low
18,2025-10-08,Pune,35-44,salaried,10000,full,27,2227.074074074074,0.074074074074074,60131,0,0.0,0.10121107048139846,Low
19,2025-09-02,Bangalore,35-44,salaried,10000,full,21,2331.7619047619046,0.3333333333333333,48967,0,0.0,0.23088456459880152,Low
